Filipino,English
bilang,as
ako,I
kanyang,her
na,na
siya,She is
noon ay,before
para sa,For
sa,In
ay,Ay
may,May
sila,They are
maging,be
sa,In
isa,one
mayroon,have
ito,This
mula sa,from
sa pamamagitan ng,by
mainit,hot
salita,word
ngunit,But
kung ano,What
ilang,Some
ay,Ay
ito,This
sa iyo,yours
o,o
nagkaroon,had
ang,The
ng,of
sa,In
at,and
isang,a
sa,In
namin,We are
maaari,can
iba,Other
ay,Ay
kung saan,wherein
gawin,do
ang kanilang,their
oras,Time
kung,If
pamanahan,Please
kung paano,how
sinabi,said
isang,a
bawat,Each
sabihin,Say
gumagana,Works
hanay,set
tatlong,Three
gusto,Want
naka,Naka
na rin,too
ring,Ring
maglaro,Play
maliit,Small
pagtatapos,End
ilagay,Put
tahanan,Home
basahin,Read
kamay,hand
malaki,great
oras ng paggawa,Working time
magdagdag,add
kahit na,even
lupa,land
dito,Here
kailangan,Need
malaki,great
mataas,High
tulad,Like
sundin,Follow
kumilos,act
bakit,Why
magtanong,Ask
mga lalaki,Men
pagbabago,change
nagpunta,went
liwanag,Light
uri,Type
mula sa,from
kailangan,Need
bahay,Home
larawan,Photo
subukan,try
atin,ours
muli,again
hayop,animals
punto,point
nanay,Mom
mundo,world
malapit,closely
magtayo,Build
sarili,self
lupa,land
ama,Father
anumang,Any
bago,before
trabaho,work
bahagi,part
kumuha,Get
lugar,place
ginawa,made
mabuhay,live
saan,Where
pagkatapos,Then
likod,back
maliit,Small
lamang,Just
pag-ikot,turning
tao,person
taon,year
dumating,come
palabas,Shut up
bawat,Each
mabuti,Good
sa akin,to me
magbigay,give
ang aming,Our
sa ilalim,under
pangalan,Name
napaka,Very very
sa pamamagitan ng,by
lamang,Just
paraan,way
pangungusap,sentence
mahusay,well
palagay,assumption
sabihin,Say
tulungan,help
mababa,low
linya,line
mag-iba,change
pagliko,turn
dahilan,Reason
magkano,How much
ibig sabihin,meaning
bago,before
paglipat,Moving
karapatan,Right
batang lalaki,boy
luma,Old
masyado,Too much
pareho,Both
siya,She is
lahat,Everything
doon,There
kapag,When
gamitin,use
iyong,Your
paraan,way
tungkol sa,about
marami,Many
pagkatapos,Then
sila,They are
sumulat,Write
ibig,Love
tulad ng,just like
kaya,So
mga,mga
sa kanya,to him
mahaba,Long
gumawa,make
bagay,thing
tingnan,see
sa kanya,to him
dalawang,Two
may,May
tumingin,look
higit pa,more
araw,day
ng dati,Before
pumunta,Go
dumating,come
ginawa,made
numero,number
tunog,sound
walang,Nothing
karamihan,Most
mga tao,people
ko,Ko
sa ibabaw,on top
alam,Know
tubig,water
kaysa,than
tawag,Call
unang,first
kung sino,Who is it
maaari,can
pababa,down
gilid,side
naging,It has been
ngayon,now
hanapin,Look
ulo,head
tumayo,Stand up
sarili,self
pahina,page
dapat,should
bansa,country
natagpuan,found
sagot,Answer
paaralan,school
lumaki,Grow up
pag-aaral,study
pa rin,still
malaman,Find out
halaman,plants
pabalat,cover
pagkain,food
apat,four
sa pagitan ng,in between
estado,state
panatilihin,Keep
mata,Eyes
hindi kailanman,never
huli,late
ipaalam,Let it go
pag-iisip,way of thinking
lungsod,city
puno,Fun
tumawid,Cross
sakahan,farm
matapang,Brave
simula,Beginning
lakas,Strength
